title,show_id,imdb_rating
Pray Away,s318,6.6
Shiny_Flakes: The Teenage Drug Lord,s319,7.3
The Prince Who Turns into a Frog,s320,
Top Secret UFO Projects: Declassified,s321,5.5
Two Fathers,s322,7.9
You're My Destiny,s323,
30 Rock,s324,8.2
44 Cats,s325,6.1
Beethoven,s326,5.7
Beethoven's 2nd,s327,5.0
Beowulf,s328,6.2
Boyka: Undisputed,s329,7.0
Catch Me If You Can,s330,8.1
Cloudy with a Chance of Meatballs,s331,6.9
Darwin’s Game,s332,
Deep Blue Sea,s333,5.9
Ferris Bueller's Day Off,s334,7.8
Five Feet Apart,s335,7.2
Freedomland,s336,5.1
Friday Night Lights,s337,
Good Luck Chuck,s338,5.6
Hunter X Hunter (2011),s339,
I missed you: Director's Cut,s340,
Inception,s341,8.8
Magnolia,s342,8.0
Major Payne,s343,6.3
My Girl,s344,6.9
My Girl 2,s345,5.3
Open Season: Scared Silly,s346,
Pineapple Express,s347,6.9
Planet 51,s348,6.0
Poms,s349,6.1
Seabiscuit,s350,7.3
Space Cowboys,s351,6.5
Team America: World Police,s352,7.2
The Edge of Seventeen,s353,7.3
The Haunting in Connecticut 2: Ghosts of Georgia,s354,5.3
The Last Boy Scout,s355,7.0
The Lincoln Lawyer,s356,7.3
The Losers,s357,6.3
The Machinist,s358,7.7
The Net,s359,6.0
The Original Kings of Comedy,s360,6.8
Valentine's Day,s361,5.7
Charmed,s362,7.1
The Lost Café,s363,6.9
The Vault,s364,6.4
Centaurworld,s365,7.6
Eyes of a Thief,s366,6.6
Glow Up,s367,
I'm Glad I Did,s368,8.4
Khawatir,s369,
Myth & Mogul: John DeLorean,s370,6.8
Outer Banks,s371,7.6
Pomegranates and Myrrh,s372,
Rurouni Kenshin: The Beginning,s373,
The Last Mercenary,s374,5.3
Flower Girl,s375,
Resort to Love,s376,5.7
Transformers: War for Cybertron: Kingdom,s377,
Bartkowiak,s378,5.1
Fantastic Fungi,s379,7.5
Tattoo Redo,s380,5.9
The Flash,s381,7.6
The Snitch Cartel: Origins,s382,5.8
All American,s383,7.7
Department,s384,3.1
Hostage House,s385,3.8
How to Sell Drugs Online (Fast),s386,7.9
Mighty Express,s387,4.8
Mimi,s388,8.0
Plastic Cup Boyz: Laughing My Mask Off!,s389,5.2
The Operative,s390,5.8
The Walking Dead,s391,8.2
Wynonna Earp,s392,7.5
Django Unchained,s393,8.4
A Second Chance:  Rivals!,s394,
African America,s395,5.1
Bankrolled,s396,4.1
Blood Red Sky,s397,6.1
Feels Like Ishq,s398,6.4
Kingdom: Ashin of the North,s399,7.0
Masters of the Universe: Revelation,s400,5.2
Revelations: The Masters of the Universe: Revelation Aftershow,s401,
Sky Rojo,s402,6.6
The Last Letter From Your Lover,s403,6.7
The Movies That Made Us,s404,7.7
9to5: The Story of a Movement,s405,
Chhota Bheem - Dinosaur World,s406,
Chhota Bheem - Neeli Pahaadi,s407,
Chhota Bheem & Ganesh,s408,
Chhota Bheem & Krishna: Mayanagari,s409,
Chhota Bheem & Krishna: Pataliputra- City of the Dead,s410,
Chhota Bheem And The Broken Amulet,s411,6.7
Chhota Bheem And The Crown of Valhalla,s412,
Chhota Bheem and the Incan Adventure,s413,
Chhota Bheem and The ShiNobi Secret,s414,5.8
Chhota Bheem Aur Hanuman,s415,6.7
Chhota Bheem aur Krishna,s416,
Chhota Bheem aur Krishna vs Zimbara,s417,
Chhota Bheem in African Safari,s418,6.1
Chhota Bheem Ka Roosi Romanch,s419,
Chhota Bheem: Bheem vs Aliens,s420,
Chhota Bheem: Dholakpur to Kathmandu,s421,
Chhota Bheem: Dus Pe Dus,s422,
Chhota Bheem: Journey to Petra,s423,
Chhota Bheem: Master of Shaolin,s424,
Chhota Bheem: The Rise of Kirmada,s425,
Chicago Med,s426,7.6
Cousins,s427,
Wannabe Courageous,s428,
Words Bubble Up Like Soda Pop,s429,
Sanitation Day,s430,3.3
Sexy Beasts,s431,4.6
Too Hot to Handle: Brazil,s432,
Trollhunters: Rise of the Titans,s433,6.8
Milkwater,s434,5.4
Okupas,s435,
Touch Your Heart,s436,7.7
The Tambour of Retribution,s437,7.1
Cosmic Sin,s438,2.5
2 Weeks in Lagos,s439,
Deep,s440,4.9
Explained,s441,8.0
Fear Street Part 3: 1666,s442,
Johnny Test,s443,5.2
La ley de Herodes,s444,
Naomi Osaka,s445,6.2
The Beguiled,s446,6.3
The Book of Henry,s447,6.6
The Twilight Saga: Breaking Dawn: Part 1,s448,
The Twilight Saga: Breaking Dawn: Part 2,s449,
The Twilight Saga: Eclipse,s450,5.0
The Twilight Saga: New Moon,s451,4.8
Twilight,s452,5.2
A Perfect Fit,s453,5.3
BEASTARS,s454,7.8
Cheech & Chong's Still Smokin,s455,
Emicida: AmarElo - Live in São Paulo,s456,7.3
Her Private Life,s457,7.7
Lift Like a Girl,s458,7.9
My Amanda,s459,6.0
Never Have I Ever,s460,7.8
Surf's Up,s461,6.7
The Unknown Saint,s462,6.5
This Changes Everything,s463,7.8
A Classic Horror Story,s464,5.7
Gunpowder Milkshake,s465,6.1
Heist,s466,
My Unorthodox Life,s467,5.5
Private Network: Who Killed Manuel Buendía?,s468,6.8
